label,period,n,win,avgR,pf,sumR,maxddR,exit,set,filter
,p3,11,0.2727272727272727,-0.49977437914521305,0.6229189940257259,-5.497518170597344,8.086867546711417,MM1,WTI_eia,with_trend
,p4,9,0.5555555555555556,0.6302186663803053,1.9701161725240344,5.671967997422748,2.5561006533558706,MM1,WTI_eia,with_trend
,p1,40,0.425,0.01593667765960295,1.0144858257692524,0.637467106384118,10.148124693578424,MM1,WTI_eia,counter_trend
,p2,27,0.7037037037037037,0.8584268482127363,2.4155701206073563,23.17752490174388,6.497008699981587,MM1,WTI_eia,counter_trend
,p3,12,0.6666666666666666,1.068207323879979,2.658691151726273,12.818487886559748,5.486500919793959,MM1,WTI_eia,counter_trend
,p4,10,0.6,1.467710595389709,3.366453926945004,14.67710595389709,2.204737783472817,MM1,WTI_eia,counter_trend
,p1,37,0.3783783783783784,-0.35982864286296223,0.6485309585397788,-13.313659785929604,13.945020343202355,MM1,WTI_eia,vol_high
,p2,22,0.6363636363636364,0.6616340401956108,2.1251808644327372,14.555948884303437,5.95688861419484,MM1,WTI_eia,vol_high
,p3,8,0.5,0.6625120090901813,1.761246841230851,5.30009607272145,3.040856031128403,MM1,WTI_eia,vol_high
,p4,9,0.5555555555555556,1.5026935382866,3.4773383578652317,13.5242418445794,3.8600501321048775,MM1,WTI_eia,vol_high
,p1,39,0.358974358974359,-0.34415834311623716,0.7460711285625855,-13.422175381533249,18.214351279072044,MM1,WTI_eia,vol_low
,p2,26,0.5,-0.006520129987850744,0.9949412611829053,-0.16952337968411935,13.701099443746964,MM1,WTI_eia,vol_low
,p3,15,0.4,-0.26707902708865966,0.8015700987613463,-4.0061854063298945,11.594103836495357,MM1,WTI_eia,vol_low
,p4,10,0.6,0.6824832106740439,2.0356882560514755,6.824832106740439,2.6934643143544594,MM1,WTI_eia,vol_low
,p1,78,0.44871794871794873,0.023591142307868056,1.021031300118016,1.8401091000137084,31.27101632856337,MM1,BRENT_eia,all
,p2,56,0.4642857142857143,0.45527429003683634,1.4850452547269493,25.495360242062834,11.660990873835011,MM1,BRENT_eia,all
,p3,26,0.5769230769230769,0.826069562759958,2.188757501185023,21.477808631758908,5.179364930819741,MM1,BRENT_eia,all
,p4,23,0.6086956521739131,0.739747329370608,2.2045342894822757,17.014188575523985,6.65021735468957,MM1,BRENT_eia,all
,p1,31,0.41935483870967744,-0.15303052220569824,0.8783031905337447,-4.743946188376645,14.676446547994223,MM1,BRENT_eia,with_trend
,p2,24,0.5833333333333334,0.962243715560711,2.417506176012905,23.093849173457063,9.931096429055298,MM1,BRENT_eia,with_trend
,p3,14,0.5714285714285714,0.7450420886336148,2.136172163585033,10.430589240870606,4.268927760282154,MM1,BRENT_eia,with_trend
,p4,9,0.5555555555555556,1.109946083102689,2.7694292761096384,9.9895147479242,2.972786249894696,MM1,BRENT_eia,with_trend
,p1,48,0.4583333333333333,0.08690740184146573,1.081916222467043,4.171555288390355,19.46166059893242,MM1,BRENT_eia,counter_trend
,p2,32,0.375,0.07504722089393036,1.0662102935727265,2.4015110686057715,13.63597969937009,MM1,BRENT_eia,counter_trend
,p3,12,0.5833333333333334,0.9206016159073583,2.243079440955839,11.0472193908883,4.07949308755763,MM1,BRENT_eia,counter_trend
,p4,14,0.6428571428571429,0.5017624162571275,1.8284298382615929,7.024673827599784,3.677431104794872,MM1,BRENT_eia,counter_trend
,p1,36,0.3611111111111111,-0.1780880818787191,0.8371593483822011,-6.411170947633888,23.281069451495945,MM1,BRENT_eia,vol_high
,p2,23,0.5652173913043478,1.0139483458505296,2.213370403498816,23.32081195456218,6.850570161545768,MM1,BRENT_eia,vol_high
,p3,14,0.5714285714285714,0.9827558852147045,2.483236759245363,13.758582393005863,4.207717284894322,MM1,BRENT_eia,vol_high
,p4,8,0.625,0.8058764554265463,2.5522298079837635,6.44701164341237,1.4885057471264302,MM1,BRENT_eia,vol_high
