name,family,symbol,dataset,window_start,lag,cost_mult,start,end,years,sharpe,is_sharpe,oos_sharpe,gross_sharpe,cagr,ann_vol,max_dd,t_stat,turnover_py,cost_py,time_in_mkt,sr_1990-1999,sr_2000-2009,sr_2010-2019,sr_2020-2029
exp_week_wf_sign,E_daily_wf,PORT,fut,,1,1.0,1990-08-30,2024-03-28,33.6,-0.05849974943472149,0.055156959623905884,-0.18483319442093932,,-0.0031530404409051416,0.04017824892478296,-0.21640310610312152,-0.3388724188877332,,,,-0.32,0.3,-0.01,-0.45
ltd_wf_sign,E_daily_wf,XTIUSD,fut,,1,1.0,1991-10-29,2024-03-28,32.2,0.05160946929856675,0.16371577664430548,-0.0662577989527973,0.2090048839025099,0.001151188989586771,0.03250662734568853,-0.1355352287920727,0.2928328948660717,14.421248951533329,0.005118149519881793,0.0457290767903365,0.01,0.34,-0.29,0.11
ltd_wf_sign,E_daily_wf,XBRUSD,fut,,1,1.0,1990-08-30,2024-03-28,33.3,-0.24566142227646587,0.06963356141528805,-0.5712578815653233,-0.09993970986716519,-0.00873639454738051,0.033441833099725635,-0.34893356350712046,-1.41782024700611,12.357907162545985,0.004875058022957338,0.046104360257326664,-0.07,-0.09,-0.23,-1.13
ltd_wf_sign,E_daily_wf,XNGUSD,fut,,1,1.0,1991-08-09,2024-03-28,32.4,-0.17273568163825886,0.025057991338670347,-0.36929959747323704,0.11761482868044205,-0.0059179092528467425,0.03148863059899784,-0.3052144573649057,-0.9826987333625459,8.744912441923486,0.009140856909506742,0.04512015693967631,-0.28,0.21,-0.41,-0.45
ltd_wf_sign,E_daily_wf,PORT,fut,,1,1.0,1990-08-30,2024-03-28,33.6,-0.22115949618696007,0.12491248612193344,-0.5903625539060069,,-0.004288755529308297,0.018647543228624597,-0.23278418605779938,-1.281114092915847,,,,-0.17,0.23,-0.53,-0.81
opt_exp_wf_sign,E_daily_wf,XTIUSD,fut,,1,1.0,1991-10-29,2024-03-28,32.2,-0.1880643287786338,-0.21286805031032324,-0.16062003377132822,-0.023072468307156285,-0.006114827390914401,0.03018785808676168,-0.2116723201659254,-1.0670797930259168,14.440512072746904,0.004981271702455885,0.04585233575742635,-0.57,0.04,-0.2,-0.12
opt_exp_wf_sign,E_daily_wf,XBRUSD,fut,,1,1.0,1990-08-30,2024-03-28,33.3,-0.3094228166139202,-0.5831419506167042,-0.03210575351471349,-0.1466950043641482,-0.009607238540606522,0.02976501147254359,-0.40015210717576943,-1.7858153315873813,12.229677908149108,0.004850382555336086,0.045746962115797,0.04,-1.13,-0.09,0.53
opt_exp_wf_sign,E_daily_wf,XNGUSD,fut,,1,1.0,1991-08-09,2024-03-28,32.4,-0.32754501443273276,-0.1715920530728547,-0.4864184015722614,-0.02844365632973034,-0.010538364603053574,0.030883650072752712,-0.3249868042297881,-1.8634139035404205,8.754505217641858,0.009239361738013917,0.045242766061794996,-0.25,-0.27,-0.47,-0.34
opt_exp_wf_sign,E_daily_wf,PORT,fut,,1,1.0,1990-08-30,2024-03-28,33.6,-0.4756151990013815,-0.5370840656945278,-0.40582322912544655,,-0.008373286407662106,0.01736195508296264,-0.2691031696339352,-2.75510364578942,,,,-0.41,-0.73,-0.42,-0.05
roll_win_wf_sign,E_daily_wf,XTIUSD,fut,,1,1.0,1991-10-29,2024-03-28,32.2,-0.040362030480666264,-0.11896276842860364,0.04083322618915172,0.0746220850853956,-0.005836875388720131,0.07504187823341132,-0.4100789242820967,-0.22901476006176177,16.44608355829368,0.008626241133620281,0.23899913718723037,-0.43,0.21,-0.25,0.41
roll_win_wf_sign,E_daily_wf,XBRUSD,fut,,1,1.0,1990-08-30,2024-03-28,33.3,-0.17758308651515609,-0.16896923669421351,-0.18670292864767205,-0.07395356743243013,-0.015716684051644503,0.07378766995201776,-0.5744862267555788,-1.0249101924667412,13.1320704741823,0.007650346614689495,0.23933762211103168,-0.47,0.17,-0.39,-0.01
roll_win_wf_sign,E_daily_wf,XNGUSD,fut,,1,1.0,1991-08-09,2024-03-28,32.4,-0.06570824912524081,-0.15265793290785748,0.027743317956659436,0.10857429916547093,-0.007099005013628368,0.07056882572246016,-0.4788905379817723,-0.3738162988355208,10.015407237825954,0.012291538261674626,0.23859735164296222,-0.73,0.32,0.12,-0.09
roll_win_wf_sign,E_daily_wf,PORT,fut,,1,1.0,1990-08-30,2024-03-28,33.6,-0.1132422723229478,-0.18204715159638973,-0.04162628450340574,,-0.007570083703193009,0.0541422416137306,-0.39123818206588834,-0.6559802924496648,,,,-0.83,0.27,-0.2,0.16
dow0_long_only,E_dow_fixed,XTIUSD,fut,,1,1.0,1991-10-29,2024-03-28,32.2,-0.31176616424780057,-0.3374527422817633,-0.2845046878713036,0.032681747045769635,-0.023931220743333315,0.06983732181060419,-0.656405039710033,-1.7689658436481925,59.3780698751988,0.024054848743520575,0.18796992481203006,-0.34,-0.44,-0.45,0.24
dow0_long_only,E_dow_fixed,XBRUSD,fut,,1,1.0,1990-08-30,2024-03-28,33.3,-0.5250604283213974,-0.3529914867159582,-0.7075090170959271,-0.2195935204450172,-0.039242416749806774,0.07136888411970312,-0.7982178893551033,-3.030354946565391,48.084617807465506,0.021813840899880588,0.18334524660471765,-0.26,-0.58,-0.88,-0.3
dow0_long_only,E_dow_fixed,XNGUSD,fut,,1,1.0,1991-08-09,2024-03-28,32.4,-0.46569785679919457,-0.48234943381638445,-0.4484939041866317,0.048686534397670664,-0.03903516048176214,0.07883128197842665,-0.7907524258014428,-2.6493697750567065,36.695399152995385,0.040546947223213343,0.18722412947523295,-0.66,-0.2,-1.12,0.49
dow0_long_only,E_dow_fixed,PORT,fut,,1,1.0,1990-08-30,2024-03-28,33.6,-0.5124995272789865,-0.4160193149457948,-0.6314731797234239,,-0.030742005343010748,0.05767387844132732,-0.7247966499890257,-2.9687640744794375,,,,-0.47,-0.41,-1.11,0.2
dow1_long_only,E_dow_fixed,XTIUSD,fut,,1,1.0,1991-10-29,2024-03-28,32.2,-0.47272326139599985,-0.5001530572174494,-0.44582962058876774,-0.13395015378649686,-0.03289976569971831,0.06612661799058336,-0.666308040467067,-2.6822388020363865,65.0552426209429,0.022407105302216252,0.2057192160729693,-0.81,-0.38,-0.49,-0.06
dow1_long_only,E_dow_fixed,XBRUSD,fut,,1,1.0,1990-08-30,2024-03-28,33.3,-0.328157070262629,-0.35765066339731627,-0.297107305122154,0.00047399918472076913,-0.023185306453988752,0.06503732692143255,-0.5863778836988394,-1.8939389591783469,53.85023256482371,0.021373281232778495,0.2058613295210865,-0.63,-0.29,-0.3,0.09
dow1_long_only,E_dow_fixed,XNGUSD,fut,,1,1.0,1991-08-09,2024-03-28,32.4,-0.6588217641034521,-0.38586961172802664,-0.9459829520703115,-0.028574698185486982,-0.044568068084830714,0.06589607560741283,-0.772056165559718,-3.748057766385332,39.7845972737803,0.04153342758140793,0.20537027954879844,-0.58,-0.48,-0.72,-1.07
dow1_long_only,E_dow_fixed,PORT,fut,,1,1.0,1990-08-30,2024-03-28,33.6,-0.598685117252769,-0.49340826130321364,-0.7076713278608694,,-0.03188793449333349,0.051877715759860346,-0.6666941222359216,-3.468012697420502,,,,-0.82,-0.46,-0.65,-0.44
dow2_long_only,E_dow_fixed,XTIUSD,fut,,1,1.0,1991-10-29,2024-03-28,32.2,-0.07339279811893999,0.05301403263434828,-0.19734905301142383,0.23367777245766966,-0.007694379964937603,0.0709176646243373,-0.411601300597798,-0.4164318259340681,64.96304583511325,0.02177643861426066,0.20584247504005918,0.17,0.07,-0.21,-0.51
dow2_long_only,E_dow_fixed,XBRUSD,fut,,1,1.0,1990-08-30,2024-03-28,33.3,-0.09162849925609151,-0.11082930629394148,-0.072527166070067,0.20876402266945565,-0.00871954994308588,0.0693315193577265,-0.36884864661458516,-0.5288284185779395,54.063800513011486,0.020826890947000354,0.2065761258041458,0.18,-0.2,-0.03,-0.48
dow2_long_only,E_dow_fixed,XNGUSD,fut,,1,1.0,1991-08-09,2024-03-28,32.4,-0.4114694378514617,-0.33190656134460755,-0.4964138888742118,0.21636760674857705,-0.0288173931053729,0.06581464788562258,-0.6650101633481306,-2.340862591672382,39.897074104483764,0.04131899874058059,0.20610593428151056,-0.37,-0.28,-0.65,-0.32
dow2_long_only,E_dow_fixed,PORT,fut,,1,1.0,1990-08-30,2024-03-28,33.6,-0.21822399170855747,-0.1513317373005195,-0.28955300641939513,,-0.013367208891277405,0.05478679829023087,-0.4063053529600881,-1.2641095499414863,,,,-0.02,-0.12,-0.37,-0.55
dow3_long_only,E_dow_fixed,XTIUSD,fut,,1,1.0,1991-10-29,2024-03-28,32.2,-0.09508033291714829,-0.0016290883688211749,-0.19030813343519126,0.22689968691143308,-0.008495247969898978,0.06645581860302366,-0.37424555272050075,-0.5394872202983804,63.90204647876535,0.021393055070088804,0.20239122396154322,-0.59,0.73,-0.49,-0.21
dow3_long_only,E_dow_fixed,XBRUSD,fut,,1,1.0,1990-08-30,2024-03-28,33.3,0.06556663806196146,0.2836172252034418,-0.17043280688396018,0.38020953179931216,0.0021482754041948215,0.0647847220673026,-0.3283585706480461,0.37841394106947684,53.01944853208659,0.020389858474707374,0.20276387896116274,-0.2,0.8,-0.45,0.02
dow3_long_only,E_dow_fixed,XNGUSD,fut,,1,1.0,1991-08-09,2024-03-28,32.4,-1.0095273852895603,-0.7826798774376111,-1.242966723192482,-0.4522726694220917,-0.07368095596145885,0.07314920912216105,-0.9198020119112584,-5.743233091217467,39.46227837847793,0.040837598558583925,0.20267287886218735,-0.88,-0.81,-1.29,-1.15
dow3_long_only,E_dow_fixed,PORT,fut,,1,1.0,1990-08-30,2024-03-28,33.6,-0.46242401176538217,-0.22465147075992048,-0.7255642440873226,,-0.025658280816877488,0.05314955182220223,-0.6042841486706688,-2.6786908479593676,,,,-0.7,0.24,-0.98,-0.66
dow4_long_only,E_dow_fixed,XTIUSD,fut,,1,1.0,1991-10-29,2024-03-28,32.2,0.1808343603400982,0.5872169571820081,-0.1964754455026769,0.4978859062104443,0.009799841465338188,0.06598586682030053,-0.44298626223895177,1.0260568447875107,62.54686072614499,0.020942473841250208,0.19807716011339824,-0.17,0.99,-0.42,0.29
dow4_long_only,E_dow_fixed,XBRUSD,fut,,1,1.0,1990-08-30,2024-03-28,33.3,0.0909724974549777,0.23801403910096483,-0.054156741863020996,0.4116051363498468,0.0037600950005520772,0.06336910304810248,-0.36741679924218595,0.5250423433078675,52.76166571712436,0.02033004383117607,0.2014534191088873,-0.18,0.48,-0.27,0.55
dow4_long_only,E_dow_fixed,XNGUSD,fut,,1,1.0,1991-08-09,2024-03-28,32.4,-0.5662430663687371,-0.15043545713263243,-0.986439372605448,0.13182218194717854,-0.03343817236794466,0.05717111585569173,-0.6817443178274013,-3.2213746390927245,38.55833437151533,0.0399026585799446,0.19862677783227073,-0.22,-0.38,-0.88,-0.99
dow4_long_only,E_dow_fixed,PORT,fut,,1,1.0,1990-08-30,2024-03-28,33.6,-0.1178834121788259,0.24678484503530398,-0.49134256519880937,,-0.00696451841580048,0.0490653855334596,-0.4391004675682043,-0.6828650963087426,,,,-0.26,0.43,-0.65,0.0
dow_wf_sign_all_days,E_dow_wf,XTIUSD,fut,,1,1.0,1991-10-29,2024-03-28,32.2,-0.21717110140668097,-0.14326817798699337,-0.2916485341111189,0.15152341859930107,-0.03981400109866351,0.1411575297003629,-0.7892222741590861,-1.2322320529643132,126.05703461349418,0.05203544823918204,0.9704178478984347,-0.57,0.34,-0.5,-0.34
dow_wf_sign_all_days,E_dow_wf,XBRUSD,fut,,1,1.0,1990-08-30,2024-03-28,33.3,-0.03667950705146748,-0.03340563464269234,-0.04011755787318435,0.2913230689272707,-0.014758318663456782,0.139581807971643,-0.6168526226600062,-0.2116935873197377,96.13980792956417,0.04576483310794022,0.9714081486776269,-0.49,0.44,-0.16,-0.07
dow_wf_sign_all_days,E_dow_wf,XNGUSD,fut,,1,1.0,1991-08-09,2024-03-28,32.4,-0.9476194654490576,-0.8784315420123724,-1.0201366514075143,-0.05518060505914574,-0.13164368911545776,0.1387536682589753,-0.9898953141241431,-5.391036985378861,115.22053617833916,0.12382879934973548,0.9705738106915155,-1.12,-0.79,-0.94,-1.01
dow_wf_sign_all_days,E_dow_wf,PORT,fut,,1,1.0,1990-08-30,2024-03-28,33.6,-0.5398392434042303,-0.4742539589881286,-0.6071656888179765,,-0.057069650908371905,0.09964237926576591,-0.8659687719428288,-3.1271352781955075,,,,-1.04,0.03,-0.73,-0.65
trend_only,G_overlay,XTIUSD,fut,,1,1.0,1991-10-29,2024-03-28,32.2,0.37032822696546874,0.5541511583623945,0.15872059313138537,0.4592420358925708,0.053278488498845755,0.18815193247482548,-0.4688193460658887,2.10124785677518,7.170348126771888,0.016747917063942748,0.966720078885739,0.27,0.8,-0.07,0.35
