name,start,end,years,ann_ret,cagr,ann_vol,sharpe,sortino,max_dd,calmar,skew,t_stat,hit_rate,turnover_py,cost_py,gross_sharpe,avg_abs_pos,time_in_mkt,symbol,dataset,is_sharpe,oos_sharpe,sr_2000-2009,sr_2010-2019,sr_2020-2029,model,target,pooled,lag,blend
lr_y1_pooled,2005-01-03,2024-03-28,19.7,0.052795404781365976,0.04862439841113986,0.10302418164653783,0.5124564343786776,0.6496100671879728,-0.3026544796427617,0.16065976776069424,-0.24349413336208364,2.27649085335047,0.5194047858435552,,,,,,PORT,fut,0.7526878387090186,0.4684328492345213,0.52,0.38,0.76,lr,y1,True,1,0.5
lr_y1_pooled,2005-01-03,2024-03-28,19.3,0.027732733427541355,0.01775150392970204,0.14209313622526937,0.19517292787158186,0.22940360825421033,-0.5058571533527162,0.03509193022585281,-0.618562729172399,0.8576406535857568,0.5047266748869709,42.44368097620692,0.023108200610198578,0.357730133016811,0.39806206910094516,1.0,XTIUSD,fut,0.1081084838164129,0.2092324953246005,0.09,-0.01,0.65,lr,y1,True,2,0.5
lr_y1_pooled,2005-01-04,2024-03-28,19.7,0.05388729867694013,0.04594245478459813,0.13373042087351403,0.4029546779629763,0.49051366117599027,-0.33975228920019873,0.13522338552228733,-0.4400505273042412,1.7877087663209335,0.5049425055477104,29.528431946703485,0.018878782392925293,0.5439720512478424,0.33543603071192385,0.9985887096774193,XBRUSD,fut,0.051373945721473434,0.45887076279937694,0.18,0.36,0.75,lr,y1,True,2,0.5
lr_y1_pooled,2005-01-03,2024-03-28,19.2,-0.008766201640502659,-0.018427427351870085,0.1401293860357529,-0.06255791086008207,-0.0783258331210877,-0.5647160705859413,-0.032631313879114596,-0.21658484421781188,-0.27435853575420077,0.4830788278992984,31.691962463869547,0.037999911892765435,0.2086448634747765,0.25984315169856076,0.9987621208995254,XNGUSD,fut,0.2185190801826947,-0.11646790801651288,-0.0,-0.37,0.39,lr,y1,True,2,0.5
lr_y1_pooled,2005-01-03,2024-03-28,19.7,0.028038259814465068,0.022738398966976048,0.10532156023213869,0.2662157658191361,0.33553300594540214,-0.35539159827880173,0.06398125075860112,-0.30290082015594183,1.1826132237752818,0.5113613512970038,,,,,,PORT,fut,0.21896795004009234,0.27470963057544445,0.05,0.06,0.89,lr,y1,True,2,0.5
lr_y5_per_instr,2005-01-03,2024-03-28,19.3,0.04662888099083508,0.03206591750194754,0.1731621131968237,0.2692787708003692,0.3209419862187902,-0.5164168197405996,0.06209309278124309,-0.6113710573321555,1.18328101906609,0.5151079136690647,45.71261507214826,0.026775069334352825,0.42391938646304644,0.5254064540550959,0.9997944923962186,XTIUSD,fut,0.7578680142960054,0.18790163753362132,0.42,-0.12,0.85,lr,y5,False,1,0.0
lr_y5_per_instr,2005-01-04,2024-03-28,19.7,0.082480666887233,0.07344394255012876,0.15212264614107682,0.5421984758978053,0.679035499378548,-0.3247313480554126,0.22616831725650394,-0.3854251263482713,2.4054639924974768,0.5140149223633798,31.29834527813547,0.021525125142529623,0.6835699925712618,0.4374414569956422,0.9997983870967742,XBRUSD,fut,0.8365373509890623,0.48965836457810225,0.73,0.41,0.62,lr,y5,False,1,0.0
lr_y5_per_instr,2005-01-03,2024-03-28,19.2,0.0375392903479806,0.025686053305334466,0.15588023880971352,0.2408213551289567,0.3065123020307072,-0.47074036488204796,0.05456522368072376,-0.33547033547400723,1.056163696375654,0.4940156830375568,22.8157579076086,0.03057038160138223,0.4369176447645496,0.3101355181848767,0.9997936868165875,XNGUSD,fut,0.4903984139371072,0.19324266968447215,0.71,-0.12,0.36,lr,y5,False,1,0.0
lr_y5_per_instr,2005-01-03,2024-03-28,19.7,0.05454127015139852,0.04903377852225366,0.1153887897578967,0.47267390762858713,0.6109499088993533,-0.2839829093943296,0.1726645403655856,-0.3359413655522383,2.0997644973246055,0.5205148833467418,,,,,,PORT,fut,0.9064193084106982,0.3952341319588824,0.74,0.08,0.93,lr,y5,False,1,0.0
lr_y5_per_instr,2005-01-03,2024-03-28,19.3,0.021566620928997776,0.006633235906185364,0.17256643331866664,0.12497575869330377,0.14941266746627885,-0.6538314496944955,0.010145177184861269,-0.5507503244305779,0.5491760180931704,0.5148026315789473,45.709680759854926,0.026896378203761746,0.2808569241246007,0.5252777729770325,0.9995889847924373,XTIUSD,fut,0.6225245080910542,0.04198349201530542,0.28,-0.26,0.69,lr,y5,False,2,0.0
lr_y5_per_instr,2005-01-04,2024-03-28,19.7,0.056988332157824756,0.04655935851726789,0.15139210709496273,0.3764286874089021,0.47845766903655057,-0.48794370463274517,0.09541952908750237,-0.21680348293257404,1.6700261870080764,0.5080677692617991,31.281110099823774,0.021792781765174272,0.5203402187353656,0.4374394186825528,0.9995967741935484,XBRUSD,fut,0.5455938953177604,0.34588066752776303,0.57,0.13,0.69,lr,y5,False,2,0.0
lr_y5_per_instr,2005-01-03,2024-03-28,19.2,0.015415937176116938,0.0032292994067277814,0.15586692833219729,0.09890447794840185,0.12197887680008007,-0.5384735755643708,0.00599713626308064,-0.5373726541336998,0.43376269086332414,0.5013415892672859,22.815217378930257,0.03055194425209947,0.2949900886220784,0.31012026081749394,0.9995873736331752,XNGUSD,fut,0.22857417286134551,0.07423209072706012,0.28,-0.23,0.49,lr,y5,False,2,0.0
lr_y5_per_instr,2005-01-03,2024-03-28,19.7,0.03112819730707483,0.02477083561373461,0.11530857059137796,0.26995562556563685,0.35158463787862104,-0.38989810090676713,0.06353156262142923,-0.3165351098689737,1.1992268438502156,0.5105612552806277,,,,,,PORT,fut,0.6119372682788982,0.20818823463803568,0.41,-0.16,0.94,lr,y5,False,2,0.0
lr_y5_per_instr,2005-01-03,2024-03-28,19.3,0.05338400182404525,0.04501856364313683,0.13640799291492914,0.3913553794266161,0.4594587956910563,-0.41742870555769707,0.10784731151392836,-0.7273611711906637,1.7197174170415057,0.5213727907932594,20.62064303249472,0.016278322793296118,0.5105764509093117,0.4042201141777197,0.9993834771886559,XTIUSD,fut,1.181163460291033,0.2585592362878948,0.82,-0.04,0.7,lr,y5,False,1,0.5
lr_y5_per_instr,2005-01-04,2024-03-28,19.7,0.08620772613327303,0.07967111456082066,0.13806112886651375,0.624417074096389,0.7853009942934662,-0.2911079673419239,0.27368235671558283,-0.17230707673208884,2.7702268722765555,0.5206694898164953,14.004050506724324,0.01409459735186666,0.7262609698720937,0.37766781732702176,0.9993951612903226,XBRUSD,fut,0.7356603647215906,0.6062660953918129,0.78,0.51,0.7,lr,y5,False,1,0.5
lr_y5_per_instr,2005-01-03,2024-03-28,19.2,0.06763707253933275,0.05876567655043341,0.14495225204479473,0.4666162242062359,0.5794540494427177,-0.29138886177712364,0.20167440921397287,-0.34847106830382907,2.0464261397524677,0.5088769611890999,10.30497270576196,0.01710587027593944,0.584586915775135,0.27222918573170307,0.9991747472663504,XNGUSD,fut,0.48283732589612127,0.46373865540780973,0.71,0.09,0.87,lr,y5,False,1,0.5
lr_y5_per_instr,2005-01-03,2024-03-28,19.7,0.07054087012409925,0.06737397183133775,0.10319568983976589,0.6835641123542033,0.8768313302491596,-0.2116408813709867,0.31834100951997774,-0.32430695899916384,3.0366043727008467,0.5300623366177357,,,,,,PORT,fut,1.030218429776409,0.6228873718434225,0.93,0.3,1.11,lr,y5,False,1,0.5
