strategy,variant,blend,instrument,period,net_sharpe,sr_2005_2007,sr_2008_2024,sr_2010s,sr_2020s,gross_sharpe,cagr,max_dd,turnover_py,oos_accuracy,oos_auc,verdict
"50/50 blend: trend + LightGBM, next-5-day target, per-instrument",lgbm_y5_per_instr,0.5,XTIUSD,2005-2024,0.45152400910651025,1.2936552890654172,0.31263382979225496,0.16,0.46,0.5828242797922101,0.05296261676017311,-0.3187798173619192,24.66599093530706,0.5436793422404933,0.5191199870661415,
"50/50 blend: trend + LightGBM, next-5-day target, per-instrument",lgbm_y5_per_instr,0.5,XBRUSD,2005-2024,0.585509282674225,1.2217489469261196,0.4816163051944171,0.47,0.39,0.698095124571856,0.07253800390253895,-0.24753985474288553,16.68953213789951,0.5580221997981837,0.5440815757307279,
"50/50 blend: trend + LightGBM, next-5-day target, per-instrument",lgbm_y5_per_instr,0.5,XNGUSD,2005-2024,0.2563534823754625,0.003271021137685122,0.30266651033161157,-0.24,0.94,0.40523995575657584,0.027020506811277434,-0.47862872642124166,14.455488549909017,0.5283797729618163,0.4997646394276031,
"50/50 blend: trend + LightGBM, next-5-day target, per-instrument",lgbm_y5_per_instr,0.5,PORT,2005-2024,0.6126211510254083,1.0695545004027516,0.5345287420855096,0.23,0.96,,0.05798583107780453,-0.24390960965639064,,0.5434708489601091,0.5399209188091083,
"LightGBM, next-5-day target, pooled",lgbm_y5_pooled,0.0,XTIUSD,2005-2024,0.34350029639297663,1.208781597433172,0.1938611268005476,0.26,0.08,0.5047727340974895,0.04512216576023809,-0.4758968607068803,46.726358162389914,0.5375128468653648,0.5207111920422732,
"LightGBM, next-5-day target, pooled",lgbm_y5_pooled,0.0,XBRUSD,2005-2024,0.2723239928756435,1.2581794514498414,0.08987282081882277,0.13,-0.12,0.42452654986807714,0.030478739938518684,-0.5030884804037407,35.78656720386136,0.5590312815338042,0.5387328854215375,
"LightGBM, next-5-day target, pooled",lgbm_y5_pooled,0.0,XNGUSD,2005-2024,0.0036338970463997496,0.17832224105353012,-0.034610339437936566,-0.46,0.76,0.22624688924587252,-0.011085180727807842,-0.6871643153915787,26.467754321534397,0.4953560371517028,0.4944626076239708,
"LightGBM, next-5-day target, pooled",lgbm_y5_pooled,0.0,PORT,2005-2024,0.30781381813216474,1.1520980412016577,0.14468112488431425,0.03,0.4,,0.029705421523831044,-0.35513767950887365,,0.530855779065803,0.5348789575508851,
"50/50 blend: trend + LightGBM, next-5-day target, pooled",lgbm_y5_pooled,0.5,XTIUSD,2005-2024,0.4090784475102344,1.3724141558669356,0.24142262230411754,0.15,0.3,0.5313736935602592,0.0494475068694038,-0.3986385510583158,20.632664361229754,0.5375128468653648,0.5207111920422732,
"50/50 blend: trend + LightGBM, next-5-day target, pooled",lgbm_y5_pooled,0.5,XBRUSD,2005-2024,0.4656868961333402,0.9587458382101441,0.3811927667435038,0.38,0.26,0.5731785116819463,0.05712664575497106,-0.2979232542945812,16.011225807505244,0.5590312815338042,0.5387328854215375,
"50/50 blend: trend + LightGBM, next-5-day target, pooled",lgbm_y5_pooled,0.5,XNGUSD,2005-2024,0.33437447301995826,0.2523550823786755,0.35175700545177535,-0.1,1.08,0.46347443656885784,0.03858824281840967,-0.40012519363208376,11.770389237383837,0.4953560371517028,0.4944626076239708,
"50/50 blend: trend + LightGBM, next-5-day target, pooled",lgbm_y5_pooled,0.5,PORT,2005-2024,0.574199269091224,1.1428512269172126,0.47052465343023286,0.25,0.86,,0.05667038289801951,-0.2338873855433783,,0.530855779065803,0.5348789575508851,
