dataset,symbol,period,effect,n_on,mean_on_bp,mean_off_bp,diff_bp,t_diff,p_diff,t_on_vs_0,p_on_vs_0,vol_ratio,hit_on,p_bh,p_holm
fut,XNGUSD,2008-2024,post_hol,145,-75.12935626746486,-7.42941837667783,-67.69993789078704,-2.193656201243071,0.02979826846821792,-2.459798418661952,0.015085373714231118,1.3297141503035201,0.43448275862068964,,
fut,XNGUSD,2008-2024,exp_week,964,-2.1499872603111387,-12.254883766882301,10.104896506571164,1.005128095718352,0.31497921678433843,-0.24838175210470523,0.8038920072171734,0.9457190697967822,0.495850622406639,,
fut,XNGUSD,2008-2024,ltd,191,4.806176093233285,-10.576360255993508,15.382536349226793,0.7562300690181983,0.45035784611875423,0.24233915923128724,0.8087787587756483,0.9756861327518509,0.5026178010471204,,
fut,XNGUSD,2008-2024,opt_exp,193,9.696779697463057,-10.828860662292678,20.525640359755737,1.100699992548848,0.2722473128681412,0.5361155938382218,0.5924992203007833,0.8911467840024366,0.5129533678756477,,
fut,XNGUSD,2008-2024,roll_win,964,3.353246450557212,-13.972306006208004,17.325552456765216,1.7529559566999986,0.07978586805318742,0.3974136042953718,0.6911505537521745,0.9157944906258938,0.49896265560165975,,
fut,XNGUSD,2008-2024,dow0,752,7.325133046513102,-13.764442207154566,21.089575253667668,1.6588607083110067,0.09745714292373006,0.6199613080845278,0.5354713177496195,1.201723377279238,0.5026595744680851,,
fut,XNGUSD,2008-2024,dow1,828,-15.897747398219014,-8.299097311353187,-7.598650086865827,-0.7220897786030012,0.47036423178360504,-1.7172716590323565,0.08630393537590249,0.9375229227186858,0.4855072463768116,,
fut,XNGUSD,2008-2024,dow2,837,4.153179274899594,-13.49631054972958,17.649489824629175,1.6763629423664914,0.09389620194521725,0.4483121208106849,0.6540441181929797,0.9447381232504379,0.4922341696535245,,
fut,XNGUSD,2008-2024,dow3,823,-32.63716072900129,-4.0456781408270315,-28.591482588174255,-2.484266929484152,0.013117444504262213,-3.126192827707691,0.0018331409227660893,1.0878682383342044,0.43863912515188336,,
fut,XNGUSD,2008-2024,dow4,813,-10.933476818222362,-9.579940438773022,-1.3535363794493402,-0.13749685814376264,0.8906569727113473,-1.297810316147942,0.19472106315527718,0.8286821093913157,0.4661746617466175,,
fut,XNGUSD,full,dow_anova,8416,,,,,0.06863120895207547,,,,,,
spot,XTIUSD,full,tom,1652,8.491566281929755,4.967635715578584,3.5239305663511704,0.4483463603758882,0.6539446207708239,1.1823961884947738,0.2372187900740429,1.0746877742447551,0.49818401937046003,,
spot,XTIUSD,full,eia,1865,12.491171402288044,3.7979732622232643,8.69319814006478,1.170657182740601,0.2418359823009404,1.870213725272511,0.06161076473934458,1.0607074676796198,0.5201072386058981,,
spot,XTIUSD,full,pre_hol,305,31.791912531910643,4.692560399881051,27.099352132029594,1.8750330773726007,0.061666734064226465,2.2481640571654493,0.025282092753844368,0.8934804217097647,0.5770491803278689,,
spot,XTIUSD,full,post_hol,269,-2.9203371036388015,5.889678429911913,-8.810015533550715,-0.4594245169319613,0.646284314503669,-0.1541313537548651,0.8776221694394415,1.1328008462021768,0.49814126394052044,,
spot,XTIUSD,full,exp_week,2136,4.69656177111394,5.916145976543111,-1.2195842054291715,-0.17875965630922763,0.858136479453017,0.7907916586477973,0.4291534108983756,0.9951685040779062,0.5145131086142322,,
spot,XTIUSD,full,ltd,423,-5.159669400085973,6.161984298433831,-11.321653698519803,-0.7261656859235487,0.46811107503416516,-0.3371206940957786,0.7361935210464482,1.1514362174465702,0.4846335697399527,,
spot,XTIUSD,full,opt_exp,426,4.345510737371896,5.687257202493718,-1.3417464651218214,-0.0999303448290653,0.9204421696407582,0.33202969377348934,0.7400305218288997,0.9795554378355834,0.5258215962441315,,
spot,XTIUSD,full,roll_win,2121,5.307746123310227,5.7217624523541755,-0.41401632904394847,-0.06578463803958753,0.947552473423688,1.0107022664795104,0.31227429028382814,0.847934609879779,0.5143800094295143,,
spot,XTIUSD,full,dow0,1655,-5.01582030862764,8.058540822187165,-13.074361130814806,-1.609559441407016,0.10763261728485542,-0.670150214811158,0.5028555874362329,1.1345975954386667,0.4906344410876133,,
spot,XTIUSD,full,dow1,1826,-1.8131199143483414,7.546722294759472,-9.359842209107814,-1.3026082636091867,0.19281318171180845,-0.28374869938816716,0.77663515709676,0.9889723136070405,0.49780941949616647,,
spot,XTIUSD,full,dow2,1839,11.937836192489963,3.974496555688183,7.96333963680178,1.0629252110395992,0.28790952658796226,1.766763312671929,0.07743381821121711,1.0667452423226338,0.523110386079391,,
spot,XTIUSD,full,dow3,1802,15.233753893377132,3.1774618013197813,12.056292092057351,1.6736005068581636,0.09432005614612485,2.3757291257543085,0.0176184100179393,0.9852388483639106,0.5355160932297447,,
spot,XTIUSD,full,dow4,1762,6.901840688613206,5.3065102077331945,1.5953304808800126,0.2447992203711993,0.8066276787860784,1.2380313474273184,0.21586946177032848,0.8215907889314595,0.5187287173666288,,
spot,XTIUSD,1990-2007,tom,616,0.46663105859532,6.442207881306404,-5.975576822711083,-0.5897007606093339,0.5555229557692852,0.05239960348030025,0.9582273053347259,0.8650950282416415,0.5081168831168831,,
spot,XTIUSD,1990-2007,eia,719,6.992715184164546,4.926116370133093,2.0665988140314533,0.20157867800758603,0.8402812687497799,0.7742624294569918,0.43903048926299054,0.9625954515749511,0.5146036161335188,,
spot,XTIUSD,1990-2007,pre_hol,111,18.3846111087668,4.923687383569633,13.460923725197171,0.7346893824761511,0.4639190023723657,1.033366491612543,0.30369899511742515,0.745503100770629,0.5945945945945946,,
spot,XTIUSD,1990-2007,post_hol,89,26.445002207493136,4.796771298654807,21.64823090883833,0.6658940845504855,0.5071601974629467,0.8206678163912999,0.41405307166675215,1.225801727108443,0.5617977528089888,,
spot,XTIUSD,1990-2007,exp_week,808,3.128817710908279,6.056155548572426,-2.927337837664147,-0.2725694298313595,0.7852302679953502,0.32461924490477984,0.7455533871640633,1.1341655423803276,0.5012376237623762,,
spot,XTIUSD,1990-2007,ltd,158,-8.795506362630869,6.050393582153192,-14.84589994478406,-0.5958338755325201,0.5520934375591483,-0.35843842669910225,0.7204967471672401,1.2517448953624013,0.44936708860759494,,
spot,XTIUSD,1990-2007,opt_exp,162,8.605860544997133,5.200227889221399,3.405632655775735,0.12414825997667711,0.9013453075904111,0.3176087508573557,0.7511932759860454,1.413788772349723,0.5370370370370371,,
spot,XTIUSD,1990-2007,roll_win,825,3.42587179500944,5.980543904691989,-2.5546721096825484,-0.28581202622484647,0.7750568393660002,0.4682627742698061,0.6397205224690119,0.8052172934795756,0.49333333333333335,,
spot,XTIUSD,1990-2007,dow0,639,-2.9383354596162072,7.277604007005038,-10.215939466621245,-0.8120763831015841,0.41697897856521304,-0.2502110631915121,0.8025046779961844,1.2505857653356662,0.47417840375586856,,
spot,XTIUSD,1990-2007,dow1,701,-2.413900240513562,7.375778797673514,-9.789679038187076,-0.9837101719987154,0.32545864346298004,-0.27854412598993,0.7806769588383018,0.9013875226822795,0.4764621968616263,,
spot,XTIUSD,1990-2007,dow2,703,7.273130646428854,4.865463324311538,2.407667322117316,0.23155360639987818,0.8169270938233892,0.7897089390963306,0.4299644242885963,0.9728074318892485,0.519203413940256,,
spot,XTIUSD,1990-2007,dow3,693,17.233481669728203,2.331965502607938,14.901516167120265,1.3463090732193146,0.17850177493083416,1.721225413635261,0.08565688003098815,1.0720714399063485,0.5468975468975469,,
spot,XTIUSD,1990-2007,dow4,672,7.125023694100937,4.929120326851742,2.195903367249195,0.2329026692205076,0.8158756019603393,0.8877656285941183,0.3749849372858014,0.8038851658357524,0.5223214285714286,,
spot,XTIUSD,2008-2024,tom,795,17.568013904008975,3.1029984556353063,14.465015448373668,1.1203593993800853,0.26281274175537156,1.4673226095501433,0.14268429357404072,1.2031702673911042,0.4968553459119497,,
spot,XTIUSD,2008-2024,eia,867,18.712776008453776,2.4866378929575665,16.22613811549621,1.326506111457901,0.18492093054508646,1.6696754322469085,0.0953449913418321,1.1720941069555315,0.5224913494809689,,
spot,XTIUSD,2008-2024,pre_hol,148,58.15979281671566,3.936858051558962,54.222934765156694,2.319793051807208,0.021622446074314686,2.538220439050099,0.01218297522201147,0.95246952093614,0.6148648648648649,,
spot,XTIUSD,2008-2024,post_hol,143,-9.52562841105589,6.40955435111093,-15.935182762166821,-0.6161406976112966,0.5387267283385314,-0.3742848596259613,0.7087507130273462,1.0425732897857336,0.4755244755244755,,
spot,XTIUSD,2008-2024,exp_week,1002,4.406490872727135,6.323721324365499,-1.917230451638364,-0.1891259219598041,0.8500152873501483,0.509847724021092,0.6102705370401296,0.91789593554487,0.5229540918163673,,
spot,XTIUSD,2008-2024,ltd,199,3.4623115846709345,5.983085141315492,-2.520773556644557,-0.11296927269306495,0.9101597495740954,0.15861443823664254,0.8741343135287238,1.0561413530468873,0.5175879396984925,,
spot,XTIUSD,2008-2024,opt_exp,201,6.54209272812392,5.82827060205156,0.7138221260723601,0.045868550308896965,0.9634528475530896,0.44095713561337485,0.6597203155411328,0.7108548450174897,0.5373134328358209,,
spot,XTIUSD,2008-2024,roll_win,989,-3.799389412725844,8.869565127525252,-12.668954540251097,-1.3167736980306257,0.18806741480885636,-0.47693332987207915,0.6335150675244223,0.8237340418400169,0.5136501516683518,,
spot,XTIUSD,2008-2024,dow0,773,-8.609344296872226,9.158781669879676,-17.768125966751903,-1.527188791027783,0.12698866100830672,-0.8202164669779384,0.41234588831504326,0.998124467967421,0.49676584734799484,,
spot,XTIUSD,2008-2024,dow1,856,3.1534865935342893,6.563122114776212,-3.4096355212419236,-0.30087213151068715,0.7635596336404844,0.311011268144793,0.7558678636291151,1.018609282820667,0.5151869158878505,,
spot,XTIUSD,2008-2024,dow2,858,17.529277683243663,2.8376432740605404,14.691634409183122,1.1927573689709612,0.23320077672633285,1.5506395703373124,0.12135727268527588,1.176857649707951,0.5233100233100233,,
spot,XTIUSD,2008-2024,dow3,845,8.86979544764307,5.0978039412495475,3.7719915063935225,0.33993989469405367,0.7339553953733771,0.8999707481420793,0.36839252330060435,0.9750395331161856,0.5254437869822485,,
spot,XTIUSD,2008-2024,dow4,835,7.006494680269239,5.576068063644831,1.4304266166244077,0.1420851803731707,0.8870316058680128,0.8149569591867801,0.4153296020693672,0.8216478956011011,0.5245508982035928,,
spot,XTIUSD,full,dow_anova,8884,,,,,0.13606577266852338,,,,,,
spot,XBRUSD,full,tom,1521,10.400232672122483,2.8701305801272268,7.530102091995257,0.9832945026467629,0.3255721305643863,1.4878849991154717,0.13698864184796272,1.0670918517094024,0.5134779750164365,,
spot,XBRUSD,full,eia,1734,9.42607178566053,2.8833404982700466,6.542731287390485,0.9203579039511363,0.3574685856148119,1.485054082612547,0.13771136728619937,1.0275541899556886,0.5023068050749712,,
spot,XBRUSD,full,pre_hol,293,16.13461695139697,3.8283160651396058,12.306300886257365,0.9005961896604393,0.368478939573363,1.2087462728005287,0.2277382253509027,0.8794862998212591,0.5255972696245734,,
spot,XBRUSD,full,post_hol,121,9.296615038345438,4.19317936714921,5.103435671196227,0.17987155121716786,0.857550622074945,0.3293515446759699,0.7424641466787645,1.2039283446687317,0.5041322314049587,,
spot,XBRUSD,full,exp_week,1924,2.794012682224794,4.721349239158359,-1.927336556933565,-0.30623157006947216,0.7594461038622793,0.5250742187893884,0.5995921270303824,0.8773082823658266,0.5057172557172557,,
spot,XBRUSD,full,ltd,395,-11.404765467089694,5.062801423049033,-16.467566890138727,-1.297242428639693,0.19522788467324684,-0.9234888694966645,0.3563176967566507,0.9462678846424808,0.49873417721518987,,
spot,XBRUSD,full,opt_exp,377,-0.6003362858571031,4.503517408541522,-5.103853694398625,-0.4380353845247367,0.661581069190475,-0.05325543022292662,0.9575566742796935,0.8401721856105938,0.4986737400530504,,
spot,XBRUSD,full,roll_win,1968,5.2211665758951264,3.9672772278696833,1.2538893480254434,0.1940845312830833,0.8461209417450376,0.9432455427618113,0.3456711596528322,0.9344461400644852,0.510670731707317,,
spot,XBRUSD,full,dow0,1532,-9.563990154672364,7.451440019544134,-17.015430174216498,-2.2389305496442398,0.02525997090893805,-1.381407294424952,0.16735532918238305,1.0595733877667242,0.4751958224543081,,
spot,XBRUSD,full,dow1,1580,-4.6594872671956225,6.402669382047787,-11.06215664924341,-1.5233908316851081,0.12779352624155954,-0.7137395537425576,0.4754937246248728,1.0037314986053139,0.4962025316455696,,
spot,XBRUSD,full,dow2,1706,7.01616455714848,3.545662862225705,3.470501694922775,0.48441342178479085,0.6281330992558023,1.0939691322491099,0.274123043001461,1.0303209409611143,0.4988276670574443,,
spot,XBRUSD,full,dow3,1707,16.868311716835574,0.9510175277693128,15.917294189066263,2.2280802009074527,0.025959664822374117,2.6399305567547287,0.008367881744489608,1.0262123463633825,0.5371997656707674,,
spot,XBRUSD,full,dow4,1665,9.735671289585763,2.873526748813253,6.862144540772512,1.0428143189201562,0.2971222458014174,1.7066160313477587,0.08808002281789834,0.8785557399908842,0.512912912912913,,
spot,XBRUSD,1990-2007,tom,560,8.859331046955784,2.858472761900909,6.000858285054875,0.553268371073683,0.5802208516419466,0.9173830671283465,0.35933756467695144,0.9335679276336414,0.5142857142857142,,
spot,XBRUSD,1990-2007,eia,632,-0.7651780139601453,5.226715817213112,-5.9918938311732575,-0.5686213162406143,0.5697374245262069,-0.08247794218404415,0.9342928140157458,0.9554960848858172,0.4699367088607595,,
