variant,feature,importance_share
lgbm_y1_pooled,x_ho_ret_5,0.018252798133860926
lgbm_y1_pooled,ma_dist_10,0.01752245451824185
lgbm_y1_pooled,ret_1,0.016737332632470767
lgbm_y1_pooled,carry_d5,0.01592487798666647
lgbm_y1_pooled,ewmac,0.015179216057627449
lgbm_y1_pooled,ma_dist_20,0.015164265505788609
lgbm_y1_pooled,ret_20,0.01279105354521436
lgbm_y1_pooled,x_XBRUSD_ret_5,0.012644480136445996
lgbm_y1_pooled,ret_120,0.012031311975017035
lgbm_y1_pooled,ret_10,0.011816577176229782
lgbm_y1_pooled,ret_5,0.011633860701301754
lgbm_y1_pooled,x_XTIUSD_ret_1,0.011453518615055351
lgbm_y1_pooled,x_XBRUSD_ret_60,0.01009018434203268
lgbm_y1_pooled,pre_hol_next,0.009371424400031508
lgbm_y1_pooled,x_XTIUSD_ret_60,0.00889328808407701
lgbm_y1_pooled,x_XTIUSD_ret_20,0.007755238799547644
lgbm_y1_pooled,x_XTIUSD_ret_5,0.007468293559909344
lgbm_y1_pooled,ret_60,0.00746232075582209
lgbm_y1_pooled,ma_dist_100,0.007443046692704421
lgbm_y1_pooled,x_XBRUSD_ret_20,0.005487070358031484
lgbm_y1_pooled,ma_dist_50,0.005027678239266526
lgbm_y1_pooled,ma_dist_200,0.004233967018411991
lgbm_y1_pooled,tom_next,0.0020263336309083086
lgbm_y1_pooled,eia_next,0.001043119856873914
lgbm_y1_pooled,sym_XBRUSD,0.0
lgbm_y1_pooled,sym_XNGUSD,0.0
lgbm_y1_pooled,sym_XTIUSD,0.0
lgbm_y5_per_instr,carry_z,0.07097593996375083
lgbm_y5_per_instr,logvol_20,0.06075835170674487
lgbm_y5_per_instr,month_next,0.045689655006443584
lgbm_y5_per_instr,ewmac,0.04402262080071126
lgbm_y5_per_instr,ret_250,0.043631476098511646
lgbm_y5_per_instr,carry_deseason,0.040143178203966026
lgbm_y5_per_instr,vr_20_250,0.037234607696564816
lgbm_y5_per_instr,carry,0.03608315210986568
lgbm_y5_per_instr,carry_d20,0.03330569168081196
lgbm_y5_per_instr,x_ho_crack_rel_20,0.032088936470726796
lgbm_y5_per_instr,x_rb_crack_rel_20,0.02826079825403953
lgbm_y5_per_instr,carry_d5,0.027719799777608297
lgbm_y5_per_instr,vr_20_120,0.027502921242879303
lgbm_y5_per_instr,vr_5_60,0.025853356209100696
lgbm_y5_per_instr,ret_60,0.025762654655456588
lgbm_y5_per_instr,ret_120,0.025743626109472333
lgbm_y5_per_instr,x_wti_brent_spread_d5,0.025069291143982743
lgbm_y5_per_instr,ret_10,0.02228352687427117
lgbm_y5_per_instr,x_XNGUSD_ret_60,0.020873101814773316
lgbm_y5_per_instr,x_wti_brent_spread_d20,0.020714190707536415
lgbm_y5_per_instr,x_XNGUSD_ret_5,0.019087516247547356
lgbm_y5_per_instr,ma_dist_50,0.01859265927115182
lgbm_y5_per_instr,x_XTIUSD_ret_20,0.01858065531752704
lgbm_y5_per_instr,ma_dist_100,0.01775143972007635
lgbm_y5_per_instr,x_ho_ret_5,0.017393902923293954
lgbm_y5_per_instr,ma_dist_20,0.017252729362899157
lgbm_y5_per_instr,x_rb_ret_20,0.017135341240965083
lgbm_y5_per_instr,x_XTIUSD_ret_60,0.016754793586029312
lgbm_y5_per_instr,ret_20,0.01658210401698295
lgbm_y5_per_instr,x_rb_ret_5,0.016199112952034304
lgbm_y5_per_instr,ma_dist_200,0.015887194897341438
lgbm_y5_per_instr,x_XBRUSD_ret_60,0.014440298218103295
lgbm_y5_per_instr,x_ho_ret_20,0.011912287861600453
lgbm_y5_per_instr,ret_5,0.011684504753852956
lgbm_y5_per_instr,x_XBRUSD_ret_20,0.00974905470403304
lgbm_y5_per_instr,ma_dist_10,0.009496875540228189
lgbm_y5_per_instr,x_XBRUSD_ret_5,0.009145264646394367
lgbm_y5_per_instr,x_XNGUSD_ret_20,0.008778556841145639
lgbm_y5_per_instr,ret_2,0.008112856754958734
lgbm_y5_per_instr,x_XTIUSD_ret_5,0.006560775667605298
lgbm_y5_per_instr,x_XNGUSD_ret_1,0.004770137639834006
lgbm_y5_per_instr,x_ho_ret_1,0.004536799274357376
lgbm_y5_per_instr,ret_1,0.004393323879313552
lgbm_y5_per_instr,x_XTIUSD_ret_1,0.003960144680649212
lgbm_y5_per_instr,x_XBRUSD_ret_1,0.003791665966698458
lgbm_y5_per_instr,x_rb_ret_1,0.0022663140325662953
lgbm_y5_per_instr,tom_next,0.001055829520592214
lgbm_y5_per_instr,dow_next,0.0003985984313454847
lgbm_y5_per_instr,eia_next,1.2385523654960573e-05
lgbm_y5_per_instr,pre_hol_next,0.0
lgbm_y5_pooled,logvol_20,0.06732269518729046
lgbm_y5_pooled,carry_z,0.0633363645410758
lgbm_y5_pooled,month_next,0.058263623370593105
lgbm_y5_pooled,ewmac,0.051235552987702195
lgbm_y5_pooled,x_rb_crack_rel_20,0.04194354313282484
lgbm_y5_pooled,x_ho_crack_rel_20,0.04137922984576579
lgbm_y5_pooled,x_XNGUSD_ret_60,0.03892130335575441
lgbm_y5_pooled,x_XNGUSD_ret_5,0.03885055339992986
lgbm_y5_pooled,carry,0.035817103343269076
lgbm_y5_pooled,ret_250,0.03400393594059985
lgbm_y5_pooled,x_wti_brent_spread_d20,0.03347792099919313
lgbm_y5_pooled,vr_20_250,0.028052546854306422
lgbm_y5_pooled,x_ho_ret_5,0.026978692062199404
lgbm_y5_pooled,x_rb_ret_5,0.026309890348244498
lgbm_y5_pooled,x_wti_brent_spread_d5,0.024965961069031914
lgbm_y5_pooled,ma_dist_100,0.024745865065982996
lgbm_y5_pooled,x_rb_ret_20,0.024056667410977905
lgbm_y5_pooled,carry_deseason,0.023495220764832795
lgbm_y5_pooled,vr_5_60,0.022995469316115357
lgbm_y5_pooled,x_ho_ret_20,0.0224567544099329
lgbm_y5_pooled,x_XNGUSD_ret_20,0.019910363882410916
lgbm_y5_pooled,ret_60,0.019505280779345806
lgbm_y5_pooled,carry_d20,0.018684236259773255
lgbm_y5_pooled,vr_20_120,0.01834736176641925
lgbm_y5_pooled,x_XTIUSD_ret_20,0.016438783990234986
lgbm_y5_pooled,ma_dist_50,0.015785131668238566
lgbm_y5_pooled,ret_120,0.015160427051883725
lgbm_y5_pooled,ret_10,0.014685785312295516
lgbm_y5_pooled,x_XTIUSD_ret_60,0.012689229994194293
lgbm_y5_pooled,ma_dist_200,0.01245043988510844
lgbm_y5_pooled,x_XNGUSD_ret_1,0.011853191113431593
lgbm_y5_pooled,ma_dist_10,0.010035329307822792
lgbm_y5_pooled,ret_20,0.00975058913647227
lgbm_y5_pooled,x_XBRUSD_ret_5,0.009414086116501573
lgbm_y5_pooled,x_XBRUSD_ret_60,0.00916321686043023
lgbm_y5_pooled,ma_dist_20,0.007778805553740988
lgbm_y5_pooled,carry_d5,0.0075464600234501624
lgbm_y5_pooled,ret_2,0.007214859058048922
lgbm_y5_pooled,x_XBRUSD_ret_20,0.006858011039491121
lgbm_y5_pooled,ret_5,0.00650126824050055
lgbm_y5_pooled,x_XTIUSD_ret_5,0.004169678909459628
lgbm_y5_pooled,x_ho_ret_1,0.0034306950460653474
lgbm_y5_pooled,tom_next,0.00336019413422963
lgbm_y5_pooled,x_XTIUSD_ret_1,0.003212625872036536
lgbm_y5_pooled,x_XBRUSD_ret_1,0.003151440575590099
lgbm_y5_pooled,ret_1,0.002159384073255685
lgbm_y5_pooled,x_rb_ret_1,0.0018423799114829064
lgbm_y5_pooled,dow_next,0.00015605930158101432
lgbm_y5_pooled,pre_hol_next,0.00010922354287392719
lgbm_y5_pooled,sym_XBRUSD,1.3396151462742515e-05
lgbm_y5_pooled,eia_next,1.3172036544632872e-05
lgbm_y5_pooled,sym_XNGUSD,0.0
lgbm_y5_pooled,sym_XTIUSD,0.0
