bot,series,start,ruined,stopped_out,years_to_ruin,years_observed,peak_equity_before_ruin,closed_trades,win_rate
grid_hedged,Brent (BRENT_W),2006-01-03,True,True,1.0238095238095237,1.0238095238095237,1.126899409171342,49,1.0
grid_hedged,Brent (BRENT_W),2006-02-01,True,True,0.9404761904761905,0.9404761904761905,1.0244891765087951,46,1.0
grid_hedged,Brent (BRENT_W),2006-03-01,True,True,0.8571428571428571,0.8571428571428571,1.0422576164106634,34,1.0
grid_hedged,Brent (BRENT_W),2006-04-03,True,True,0.7658730158730159,0.7658730158730159,1.1543326822924116,30,1.0
grid_hedged,Brent (BRENT_W),2006-05-01,True,True,0.6904761904761905,0.6904761904761905,1.0721609829239789,38,1.0
grid_hedged,Brent (BRENT_W),2006-06-01,True,True,0.40476190476190477,0.40476190476190477,1.022535666206337,21,1.0
grid_hedged,Brent (BRENT_W),2006-07-03,True,True,0.2619047619047619,0.2619047619047619,1.0292478623761063,17,1.0
grid_hedged,Brent (BRENT_W),2006-08-01,True,True,0.17857142857142858,0.17857142857142858,1.0105247263945627,17,1.0
grid_hedged,Brent (BRENT_W),2006-09-01,True,True,0.3611111111111111,0.3611111111111111,0.9996499999999999,31,1.0
grid_hedged,Brent (BRENT_W),2006-10-02,True,True,0.7857142857142857,0.7857142857142857,1.0778757255625886,33,1.0
grid_hedged,Brent (BRENT_W),2006-11-01,True,True,0.6865079365079365,0.6865079365079365,1.0430795802060582,28,1.0
grid_hedged,Brent (BRENT_W),2006-12-01,True,True,0.5992063492063492,0.5992063492063492,0.9996499999999999,22,1.0
grid_hedged,Brent (BRENT_W),2007-01-02,True,True,0.5079365079365079,0.5079365079365079,0.9996499999999999,17,1.0
grid_hedged,Brent (BRENT_W),2007-02-01,True,True,0.4722222222222222,0.4722222222222222,1.0270943943185369,21,1.0
grid_hedged,Brent (BRENT_W),2007-03-01,True,True,0.6388888888888888,0.6388888888888888,1.0067598038749395,17,1.0
grid_hedged,Brent (BRENT_W),2007-04-02,True,True,0.5833333333333334,0.5833333333333334,1.0607311699327642,17,1.0
grid_hedged,Brent (BRENT_W),2007-05-01,True,True,0.503968253968254,0.503968253968254,1.0085381223609218,15,1.0
grid_hedged,Brent (BRENT_W),2007-06-01,True,True,0.42063492063492064,0.42063492063492064,1.0216776232717246,14,1.0
grid_hedged,Brent (BRENT_W),2007-07-02,True,True,0.3531746031746032,0.3531746031746032,1.026677098918317,14,1.0
grid_hedged,Brent (BRENT_W),2007-08-01,True,True,0.24603174603174602,0.24603174603174602,0.9996499999999999,11,1.0
grid_hedged,Brent (BRENT_W),2007-09-03,True,True,0.18253968253968253,0.18253968253968253,0.9996499999999999,11,1.0
