variant,symbol,year,auc,trend_auc,n
lgbm_y5_per_instr,XNGUSD,2023,0.45745724698626294,0.3810274740678441,251
lgbm_y5_per_instr,XNGUSD,2024,0.6484375,0.18125,56
lgbm_y5_per_instr,XTIUSD,2005,0.4529505582137161,0.459662413609782,251
lgbm_y5_per_instr,XTIUSD,2006,0.6118724385245902,0.5176741803278688,250
lgbm_y5_per_instr,XTIUSD,2007,0.516940881204685,0.5250976017847183,251
lgbm_y5_per_instr,XTIUSD,2008,0.49974593495934955,0.6196646341463413,251
lgbm_y5_per_instr,XTIUSD,2009,0.5124967624967626,0.4527324527324527,251
lgbm_y5_per_instr,XTIUSD,2010,0.4887736344537815,0.40283613445378147,248
lgbm_y5_per_instr,XTIUSD,2011,0.49967396974439227,0.4504434011476265,250
lgbm_y5_per_instr,XTIUSD,2012,0.4499905464170921,0.4782882712548056,252
lgbm_y5_per_instr,XTIUSD,2013,0.47197083961789843,0.3797134238310709,253
lgbm_y5_per_instr,XTIUSD,2014,0.6141483516483517,0.5655906593406593,244
lgbm_y5_per_instr,XTIUSD,2015,0.44787940725600406,0.4662749105774144,255
lgbm_y5_per_instr,XTIUSD,2016,0.569051987767584,0.4606116207951071,259
lgbm_y5_per_instr,XTIUSD,2017,0.44343000358037954,0.4757727652464494,259
lgbm_y5_per_instr,XTIUSD,2018,0.4656479507225776,0.5317460317460317,260
lgbm_y5_per_instr,XTIUSD,2019,0.5423446745562129,0.4313979289940829,260
lgbm_y5_per_instr,XTIUSD,2020,0.4567742724382489,0.48159696747371,257
lgbm_y5_per_instr,XTIUSD,2021,0.5575675482997077,0.42425322592143727,252
lgbm_y5_per_instr,XTIUSD,2022,0.64015879113843,0.5065949545396338,251
lgbm_y5_per_instr,XTIUSD,2023,0.44111253196930944,0.34884910485933507,251
lgbm_y5_per_instr,XTIUSD,2024,0.579185520361991,0.38310708898944196,56
lgbm_y5_pooled,XBRUSD,2005,0.5378039513677811,0.44642857142857134,253
lgbm_y5_pooled,XBRUSD,2006,0.6655035200489747,0.5109886746250383,256
lgbm_y5_pooled,XBRUSD,2007,0.45581950729009557,0.5059074912016088,258
lgbm_y5_pooled,XBRUSD,2008,0.5404478150957025,0.6232093415192007,259
lgbm_y5_pooled,XBRUSD,2009,0.4897591857000993,0.3851787487586892,258
lgbm_y5_pooled,XBRUSD,2010,0.48669825072886297,0.4442419825072886,259
lgbm_y5_pooled,XBRUSD,2011,0.5056873776908024,0.46514187866927587,258
lgbm_y5_pooled,XBRUSD,2012,0.45863395863395867,0.5051106301106301,258
lgbm_y5_pooled,XBRUSD,2013,0.44363747329874886,0.43844980164784864,258
lgbm_y5_pooled,XBRUSD,2014,0.6007071765322158,0.5981862231534836,258
lgbm_y5_pooled,XBRUSD,2015,0.38631599008957496,0.4864366939838638,258
lgbm_y5_pooled,XBRUSD,2016,0.47856491334752205,0.3826391000304044,258
lgbm_y5_pooled,XBRUSD,2017,0.4824366110080396,0.5367965367965367,257
lgbm_y5_pooled,XBRUSD,2018,0.5002403846153847,0.5703725961538462,258
lgbm_y5_pooled,XBRUSD,2019,0.5739328771586837,0.4366894753991528,258
lgbm_y5_pooled,XBRUSD,2020,0.4384892086330935,0.4642685851318945,259
lgbm_y5_pooled,XBRUSD,2021,0.5365548980933597,0.4520381328073636,259
lgbm_y5_pooled,XBRUSD,2022,0.6120169082125603,0.5718599033816424,258
lgbm_y5_pooled,XBRUSD,2023,0.4567518248175183,0.341727493917275,257
lgbm_y5_pooled,XBRUSD,2024,0.35416666666666663,0.4166666666666667,58
lgbm_y5_pooled,XNGUSD,2005,0.5766315519013361,0.42632322713257964,251
lgbm_y5_pooled,XNGUSD,2006,0.5061525840853158,0.35384194695105275,251
lgbm_y5_pooled,XNGUSD,2007,0.4342954573133601,0.4251918158567774,257
lgbm_y5_pooled,XNGUSD,2008,0.6378480353890189,0.625520426749935,248
lgbm_y5_pooled,XNGUSD,2009,0.40759141494435613,0.45945945945945943,250
lgbm_y5_pooled,XNGUSD,2010,0.394421768707483,0.47846938775510195,248
lgbm_y5_pooled,XNGUSD,2011,0.5351398837680768,0.49547236112988235,249
lgbm_y5_pooled,XNGUSD,2012,0.40470737913486,0.5223918575063613,251
lgbm_y5_pooled,XNGUSD,2013,0.4308127572016461,0.38586676954732513,252
lgbm_y5_pooled,XNGUSD,2014,0.5499476302697041,0.4983634459282535,248
lgbm_y5_pooled,XNGUSD,2015,0.5329215486500255,0.4552024961793174,255
lgbm_y5_pooled,XNGUSD,2016,0.5116279069767442,0.44570638783726946,258
lgbm_y5_pooled,XNGUSD,2017,0.4798845164124773,0.3931463001318019,254
lgbm_y5_pooled,XNGUSD,2018,0.4700928381962865,0.3357427055702918,246
