name,start,end,years,ann_ret,cagr,ann_vol,sharpe,sortino,max_dd,calmar,skew,t_stat,hit_rate,turnover_py,cost_py,gross_sharpe,avg_abs_pos,time_in_mkt,symbol,dataset,is_sharpe,oos_sharpe,sr_1990-1999,sr_2000-2009,sr_2010-2019,sr_2020-2029,setting
trend,1991-08-09,2024-03-28,32.5,0.06505723456645085,0.04761816874274749,0.19247930448219067,0.337995997759179,0.42810981884617344,-0.47205420936180464,0.10087436527072821,-0.023566556912072725,1.9278145084659177,0.5068181818181818,3.8817506725476605,0.02091571610053892,0.44669037335524664,0.3687012903604355,0.966089290070749,XNGUSD,fut,0.27332424391012705,0.40275142485591603,0.19,0.41,0.14,0.76,cost_mult=3.0
trend,1990-08-23,2024-03-28,34.4,0.07574232159899258,0.06829988779867446,0.13894863614355157,0.5451102198710404,0.6933888541212712,-0.32465721025414074,0.21037539177155345,-0.22091966734153845,3.1958997199037826,0.5218999880654016,,,,,,PORT,fut,0.5864822763779464,0.4989599396599609,0.55,0.64,0.27,0.83,cost_mult=3.0
trend,1991-10-29,2024-03-28,32.4,0.057890727601486495,0.0417674198031166,0.1838336943387529,0.31490814461254557,0.37493832976855673,-0.4789007350523311,0.08721519251490088,-0.47163339231667223,1.7919616132348852,0.512940877949759,6.229310202495947,0.030985532950957947,0.4832536229686139,0.5797619922851373,0.9659313725490196,XTIUSD,fut,0.4694263886798747,0.13824162423134495,0.18,0.73,-0.1,0.37,fin=0.05
trend,1990-08-23,2024-03-28,34.1,0.07820335683891488,0.06278805338974802,0.18581302357756202,0.42087123568209556,0.5170067535850825,-0.43145901595177916,0.1455249538620497,-0.22311226427591702,2.457371596411431,0.5070371706964995,5.3479561387203995,0.02674140727215537,0.564477122353892,0.5036995262893685,0.9676405540682109,XBRUSD,fut,0.4481690628807911,0.3911801540996667,0.61,0.32,0.32,0.42,fin=0.05
trend,1991-08-09,2024-03-28,32.5,0.06355027182865022,0.04604450118389547,0.19245464649634308,0.33020908035004376,0.41714444675555373,-0.47085763333101227,0.0977885839041421,-0.03175091787590509,1.883400573220884,0.509469696969697,3.8817506725476605,0.022422678838339535,0.44669037335524664,0.3687012903604355,0.966089290070749,XNGUSD,fut,0.2689994738776117,0.3914957130671442,0.19,0.4,0.13,0.75,fin=0.05
trend,1990-08-23,2024-03-28,34.4,0.06868035702789375,0.060788497016639464,0.13891222801079295,0.4944154881927137,0.6277801494569744,-0.3292826672194231,0.18460885758111287,-0.23127429998539514,2.8986840874218043,0.5213032581453634,,,,,,PORT,fut,0.53143131006112,0.4531283597727668,0.5,0.59,0.22,0.79,fin=0.05
trend,1991-10-29,2024-03-28,32.4,0.08700746749169565,0.07252989899675688,0.18391136954535095,0.4730945547672645,0.5640915761206724,-0.4094201018331176,0.17715275501133199,-0.4442821517073395,2.6921097344638603,0.5179526355996944,6.229310202495947,0.0018687930607487841,0.4832536229686139,0.5797619922851373,0.9659313725490196,XTIUSD,fut,0.6433820365922517,0.2793042013497203,0.36,0.89,0.06,0.49,fin=0.0
trend,1990-08-23,2024-03-28,34.1,0.10307297946251812,0.08952734357885705,0.18591382922541114,0.5544126539266067,0.6817171087479722,-0.39369763606222896,0.22740127290148654,-0.2012572388516103,3.23708962015976,0.512130356065178,5.3479561387203995,0.0018717846485521402,0.564477122353892,0.5036995262893685,0.9676405540682109,XBRUSD,fut,0.5914833774589853,0.5140895634901009,0.76,0.45,0.46,0.52,fin=0.0
trend,1991-08-09,2024-03-28,32.5,0.0820911999944421,0.065615868649463,0.19247357589746397,0.426506337878683,0.5400337519326736,-0.4092427035548084,0.16033485283794513,-0.016024901319899493,2.4326474620004954,0.511127971674254,3.8817506725476605,0.003881750672547661,0.44669037335524664,0.3687012903604355,0.966089290070749,XNGUSD,fut,0.3605011736268231,0.49259335881545846,0.29,0.48,0.25,0.83,fin=0.0
trend,1990-08-23,2024-03-28,34.4,0.09269631359151034,0.08655696015174397,0.13898285287310588,0.6669622307734892,0.8486988677804068,-0.31046933466722115,0.27879391130373854,-0.21054446899037615,3.9102998417818453,0.5267366913344473,,,,,,PORT,fut,0.7110697909294973,0.6178285219836104,0.69,0.74,0.41,0.93,fin=0.0
