fam,sym,strategy,year,net_ret,gross_ret,sharpe,trades,avg_bps,hit
D,XTIUSD,XTIUSD|dow|Fri_0900_1430|long,2010,-0.08506204271173,-0.05566204271173003,-0.8232387481911717,49,-17.359600553414303,0.46938775510204084
D,XTIUSD,XTIUSD|dow|Fri_0900_1430|long,2011,0.02297766713965624,0.05297766713965624,0.2789792473786794,50,4.5955334279312465,0.54
D,XTIUSD,XTIUSD|dow|Fri_0900_1430|long,2012,0.05838941365351984,0.08838941365351982,0.6694402032201126,50,11.677882730703963,0.58
D,XTIUSD,XTIUSD|dow|Fri_0900_1430|long,2013,0.03977410446101573,0.06977410446101573,0.7620558754509877,50,7.954820892203147,0.52
D,XTIUSD,XTIUSD|dow|Fri_0900_1430|long,2014,-0.043893136931054906,-0.014493136931054917,-0.6771618884084584,49,-8.957783047154065,0.46938775510204084
D,XTIUSD,XTIUSD|dow|Fri_0900_1430|long,2015,0.06640354256259134,0.09520354256259134,0.44182079759972914,48,13.834071367206525,0.4375
D,XTIUSD,XTIUSD|dow|Fri_0900_1430|long,2016,0.02978659860034983,0.05978659860034985,0.23698290173358288,50,5.957319720069959,0.46
D,XTIUSD,XTIUSD|dow|Fri_0900_1430|long,2017,0.09033649761387824,0.12033649761387821,1.043558775492643,50,18.06729952277564,0.64
D,XTIUSD,XTIUSD|dow|Fri_0900_1430|long,2018,0.012309311522319313,0.042309311522319315,0.14278488851517676,50,2.461862304463859,0.52
D,XTIUSD,XTIUSD|dow|Fri_0900_1430|long,2019,0.043408303986478804,0.0734083039864788,0.45733132058146264,50,8.681660797295754,0.46
D,XTIUSD,XTIUSD|dow|Fri_0900_1430|long,2020,-0.25887598974987097,-0.248075989749871,-2.9199854690509315,18,-143.8199943054839,0.3333333333333333
A,XNGUSD,XNGUSD|orb|09:30|60|16:55|mid|narrow0.75,2005,-0.20119864567855644,-0.022798645678556495,-2.237314918845339,70,-28.742663668365196,0.14285714285714285
A,XNGUSD,XNGUSD|orb|09:30|60|16:55|mid|narrow0.75,2006,0.05570384375559416,0.24820384375559412,0.3178933997979136,76,7.329453125736069,0.19736842105263158
A,XNGUSD,XNGUSD|orb|09:30|60|16:55|mid|narrow0.75,2007,-0.10997800675475261,0.09142199324524736,-1.1537611646488624,80,-13.747250844344077,0.2375
A,XNGUSD,XNGUSD|orb|09:30|60|16:55|mid|narrow0.75,2008,-0.08148969629446966,0.1133103037055303,-0.7375580680333568,77,-10.583077440840212,0.23376623376623376
A,XNGUSD,XNGUSD|orb|09:30|60|16:55|mid|narrow0.75,2009,-0.0034650787321697796,0.1947349212678302,-0.02167211924212397,79,-0.4386175610341489,0.25316455696202533
A,XNGUSD,XNGUSD|orb|09:30|60|16:55|mid|narrow0.75,2010,0.13193747748496237,0.34853747748496233,0.9567702985007119,87,15.165227297122112,0.3448275862068966
A,XNGUSD,XNGUSD|orb|09:30|60|16:55|mid|narrow0.75,2011,0.20841090428604453,0.4117109042860445,1.779283974527093,82,25.415963937322505,0.3902439024390244
A,XNGUSD,XNGUSD|orb|09:30|60|16:55|mid|narrow0.75,2012,0.3064250894555531,0.515225089455553,1.632867435951033,84,36.479177316137275,0.34523809523809523
A,XNGUSD,XNGUSD|orb|09:30|60|16:55|mid|narrow0.75,2013,-0.03204157875066881,0.17275842124933116,-0.4269582774800307,82,-3.9075096037400976,0.32926829268292684
A,XNGUSD,XNGUSD|orb|09:30|60|16:55|mid|narrow0.75,2014,-0.07681881841795056,0.09858118158204943,-1.0825724471442664,70,-10.974116916850084,0.2857142857142857
A,XNGUSD,XNGUSD|orb|09:30|60|16:55|mid|narrow0.75,2015,-0.038586153757116555,0.15271384624288342,-0.40968478220688204,76,-5.07712549435744,0.25
A,XNGUSD,XNGUSD|orb|09:30|60|16:55|mid|narrow0.75,2016,-0.17927591881100516,0.014924081188994798,-1.7553153082554331,77,-23.282586858572092,0.2597402597402597
A,XNGUSD,XNGUSD|orb|09:30|60|16:55|mid|narrow0.75,2017,-0.20452738097442358,0.03667261902557639,-2.5405320342311914,96,-21.304935518169117,0.22916666666666666
A,XNGUSD,XNGUSD|orb|09:30|60|16:55|mid|narrow0.75,2018,-0.2607719510070841,-0.07347195100708415,-4.275373300330279,74,-35.23945283879515,0.16216216216216217
A,XNGUSD,XNGUSD|orb|09:30|60|16:55|mid|narrow0.75,2019,-0.16529117267284127,0.0482088273271587,-1.9834435973729523,85,-19.44602031445191,0.23529411764705882
A,XNGUSD,XNGUSD|orb|09:30|60|16:55|mid|narrow0.75,2020,-0.0424367855824323,0.003463214417567695,-1.1551053003294187,18,-23.575991990240166,0.16666666666666666
E,XTIUSD,XTIUSD|mr|15m|pxz|4h|z3|mean,2005,-0.0059008988864067725,0.04569910111359321,-0.06871520681084431,86,-0.6861510333031167,0.5232558139534884
